    2Theta, SL-TH 61,
     28.41,     24623,
     28.42,     29407,
     28.43,     35295,
     28.44,     40947,
     28.45,     46412,
     28.46,     52029,
     28.47,     56985,
     28.48,     62126,
     28.49,     66363,
      28.5,     69373,
     28.51,     71950,
     28.52,     73149,
     28.53,     73568,
     28.54,     72995,
     28.55,     70460,
     28.56,     67643,
     28.57,     63490,
     28.58,     59458,
     28.59,     54511,
      28.6,     49850,
     28.61,     46816,
     28.62,     43083,
     28.63,     40201,
     28.64,     37743,
     28.65,     35823,
     28.66,     35291,
     28.67,     34993,
     28.68,     37041,
     28.69,     40839,
      28.7,     46229,
     28.71,     54281,
     28.72,     65909,
     28.73,     79618,
     28.74,     96189,
     28.75,    124534,
     28.76,    147050,
     28.77,    170714,
     28.78,    195968,
     28.79,    221689,
      28.8,    247639,
     28.81,    269178,
     28.82,    285838,
     28.83,    299957,
     28.84,    310284,
     28.85,    313166,
     28.86,    310599,
     28.87,    305227,
     28.88,    295520,
     28.89,    283101,
      28.9,    260355,
     28.91,    236768,
     28.92,    214217,
     28.93,    191106,
     28.94,    168411,
     28.95,    150178,
     28.96,    129948,
     28.97,    111809,
     28.98,     97903,
     28.99,     83861,
        29,     70952,
     29.01,     63341,
     29.02,     58575,
     29.03,     57086,
     29.04,     58050,
     29.05,     62458,
     29.06,     69104,
     29.07,     77785,
     29.08,     87998,
     29.09,    106990,
      29.1,    121431,
     29.11,    133909,
     29.12,    147739,
     29.13,    165274,
     29.14,    177336,
     29.15,    187961,
     29.16,    194217,
     29.17,    204000,
     29.18,    204315,
     29.19,    203167,
      29.2,    203252,
     29.21,    194735,
     29.22,    186813,
     29.23,    170247,
     29.24,    155729,
     29.25,    143608,
     29.26,    126693,
     29.27,    112209,
     29.28,     99212,
     29.29,     85578,
      29.3,     75565,
     29.31,     65466,
     29.32,     55243,
     29.33,     47315,
     29.34,     39946,
     29.35,     34284,
     29.36,     30015,
     29.37,     26714,
     29.38,     24107,
     29.39,     22075,
      29.4,     20277,
     29.41,     19353,
     29.42,     18283,
     29.43,     17695,
     29.44,     16866,
     29.45,     16709,
     29.46,     15973,
     29.47,     15830,
     29.48,     15459,
     29.49,     15324,
      29.5,     14917,
     29.51,     14484,
     29.52,     14424,
     29.53,     14088,
     29.54,     13844,
     29.55,     13824,
     29.56,     13641,
     29.57,     13526,
     29.58,     13303,
     29.59,     13149,
      29.6,     13516,
     29.61,     13415,
     29.62,     13455,
     29.63,     13764,
     29.64,     14491,
     29.65,     15223,
     29.66,     16268,
     29.67,     17988,
     29.68,     20025,
     29.69,     22895,
      29.7,     26913,
     29.71,     31757,
     29.72,     37814,
     29.73,     44841,
     29.74,     52856,
     29.75,     60814,
     29.76,     69477,
     29.77,     78111,
     29.78,     86370,
     29.79,     94127,
      29.8,    106437,
     29.81,    114266,
     29.82,    118431,
     29.83,    121856,
     29.84,    124194,
     29.85,    122086,
     29.86,    121703,
     29.87,    117045,
     29.88,    113756,
     29.89,    105400,
      29.9,     97784,
     29.91,     89692,
     29.92,   81472.5,
     29.93,     71990,
     29.94,     64861,
     29.95,     58029,
     29.96,     52025,
     29.97,     45991,
     29.98,     41860,
