        56,       109,
     56.01,       119,
     56.02,       124,
     56.03,       126,
     56.04,       112,
     56.05,       131,
     56.06,       131,
     56.07,       136,
     56.08,       134,
     56.09,       156,
      56.1,       121,
     56.11,       139,
     56.12,       179,
     56.13,       145,
     56.14,       152,
     56.15,       152,
     56.16,       146,
     56.17,       156,
     56.18,       125,
     56.19,       149,
      56.2,       140,
     56.21,       151,
     56.22,       130,
     56.23,       140,
     56.24,       129,
     56.25,       116,
     56.26,       129,
     56.27,       134,
     56.28,       131,
     56.29,       129,
      56.3,       123,
     56.31,       104,
     56.32,       113,
     56.33,       123,
     56.34,       112,
     56.35,       134,
     56.36,       112,
     56.37,       124,
     56.38,       131,
     56.39,       142,
      56.4,       138,
     56.41,       134,
     56.42,       137,
     56.43,       134,
     56.44,       145,
     56.45,       136,
     56.46,       165,
     56.47,       145,
     56.48,       155,
     56.49,       171,
      56.5,       157,
     56.51,       157,
     56.52,       173,
     56.53,       151,
     56.54,       167,
     56.55,       159,
     56.56,       154,
     56.57,       158,
     56.58,       138,
     56.59,       146,
      56.6,       160,
     56.61,       155,
     56.62,       143,
     56.63,       143,
     56.64,       156,
     56.65,       146,
     56.66,       145,
     56.67,       145,
     56.68,       153,
     56.69,       143,
      56.7,       133,
     56.71,       152,
     56.72,       149,
     56.73,       131,
     56.74,       165,
     56.75,       158,
     56.76,       154,
     56.77,       147,
     56.78,       184,
     56.79,       187,
      56.8,       198,
     56.81,       191,
     56.82,       179,
     56.83,       196,
     56.84,       190,
     56.85,       192,
     56.86,       174,
     56.87,       186,
     56.88,       215,
     56.89,       189,
      56.9,       188,
     56.91,       185,
     56.92,       178,
     56.93,       189,
     56.94,       187,
     56.95,       179,
     56.96,       184,
     56.97,       176,
     56.98,       159,
     56.99,       176,
        57,       173,
     57.01,       154,
     57.02,       156,
     57.03,       161,
     57.04,       175,
     57.05,       163,
     57.06,       156,
     57.07,       172,
     57.08,       162,
     57.09,       171,
      57.1,       167,
     57.11,       170,
     57.12,       170,
     57.13,       172,
     57.14,       158,
     57.15,       172,
     57.16,       198,
     57.17,       188,
     57.18,       200,
     57.19,       188,
      57.2,       181,
     57.21,       210,
     57.22,       215,
     57.23,       208,
     57.24,       217,
     57.25,       231,
     57.26,       254,
     57.27,       237,
     57.28,       243,
     57.29,       221,
      57.3,       230,
     57.31,       203,
     57.32,       251,
     57.33,       266,
     57.34,       236,
     57.35,       221,
     57.36,       252,
     57.37,       217,
     57.38,       191,
     57.39,       225,
      57.4,       217,
     57.41,       237,
     57.42,       203,
     57.43,       223,
     57.44,       212,
     57.45,       198,
     57.46,       225,
     57.47,       188,
     57.48,       212,
     57.49,       212,
      57.5,       214,
     57.51,       196,
     57.52,       227,
     57.53,       213,
     57.54,       224,
     57.55,       202,
     57.56,       183,
     57.57,       203,
     57.58,       212,
     57.59,       199,
      57.6,       225,
     57.61,       203,
     57.62,       213,
     57.63,       193,
     57.64,       211,
     57.65,       227,
     57.66,       224,
     57.67,       214,
     57.68,       228,
     57.69,       246,
      57.7,       212,
     57.71,       230,
     57.72,       227,
     57.73,       235,
     57.74,       232,
     57.75,       244,
     57.76,       252,
     57.77,       228,
     57.78,       225,
     57.79,       245,
      57.8,       264,
     57.81,       270,
     57.82,       245,
     57.83,       267,
     57.84,       266,
     57.85,       270,
     57.86,       265,
     57.87,       260,
     57.88,       246,
     57.89,       267,
      57.9,       265,
     57.91,       265,
     57.92,       286,
     57.93,       319,
     57.94,       299,
     57.95,       276,
     57.96,       330,
     57.97,       326,
     57.98,       327,
     57.99,       353,
        58,       371,
     58.01,       332,
     58.02,       304,
     58.03,       367,
     58.04,       398,
     58.05,       375,
     58.06,       381,
     58.07,       387,
     58.08,       393,
     58.09,       419,
      58.1,       397,
     58.11,       384,
     58.12,       407,
     58.13,       404,
     58.14,       416,
     58.15,       398,
     58.16,       392,
     58.17,       406,
     58.18,       414,
     58.19,       392,
      58.2,       377,
     58.21,       421,
     58.22,       399,
     58.23,       425,
     58.24,       424,
     58.25,       479,
     58.26,       428,
     58.27,       464,
     58.28,       460,
     58.29,       482,
      58.3,       415,
     58.31,       494,
     58.32,       462,
     58.33,       519,
     58.34,       555,
     58.35,       547,
     58.36,       555,
     58.37,       580,
     58.38,       601,
     58.39,       619,
      58.4,       702,
     58.41,       658,
     58.42,       681,
     58.43,       703,
     58.44,       785,
     58.45,       701,
     58.46,       751,
     58.47,       785,
     58.48,       782,
     58.49,       846,
      58.5,       760,
     58.51,       782,
     58.52,       802,
     58.53,       787,
     58.54,       758,
     58.55,       819,
     58.56,       809,
     58.57,       798,
     58.58,       818,
     58.59,       830,
      58.6,       843,
     58.61,       834,
     58.62,       856,
